사용일자,노선명,역명,승차총승객수,하차총승객수,자치구
20180109,7호선,중화,12145.0,11762.0,중랑구
20180109,7호선,먹골,11483.0,11328.0,중랑구
20180109,6호선,봉화산(서울의료원),10824.0,10011.0,중랑구
20180109,5호선,광나루(장신대),15243.0,13459.0,광진구
20180109,5호선,아차산(어린이대공원후문),15377.0,14948.0,광진구
20180109,5호선,군자(능동),12100.0,15095.0,광진구
20180109,5호선,장한평,20650.0,20813.0,동대문구
20180109,5호선,답십리,18223.0,16850.0,성동구
20180109,5호선,마장,6773.0,6436.0,성동구
20180109,5호선,왕십리(성동구청),5424.0,6183.0,성동구
20180109,5호선,행당,9576.0,8588.0,성동구
20180109,5호선,신금호,6626.0,6729.0,성동구
20180109,경춘선,신내,682.0,691.0,중랑구
20180109,중앙선,상봉(시외버스터미널),5954.0,6030.0,중랑구
20180109,경원선,청량리(서울시립대입구),14717.0,16160.0,동대문구
20180109,경원선,왕십리(성동구청),16141.0,18518.0,성동구
20180109,경원선,옥수,47.0,29.0,성동구
20180109,3호선,옥수,10689.0,11455.0,성동구
20180109,3호선,금호,9453.0,8883.0,성동구
20180109,3호선,연신내,44803.0,42704.0,중랑구
20180109,2호선,용두(동대문구청),2486.0,2650.0,동대문구
20180109,2호선,신설동,4262.0,4192.0,동대문구
20180109,2호선,신답,1498.0,1771.0,성동구
20180109,2호선,용답,2703.0,2657.0,성동구
20180109,2호선,강변(동서울터미널),44074.0,42880.0,광진구
20180109,2호선,구의(광진구청),26699.0,26352.0,광진구
20180109,2호선,건대입구,43838.0,47697.0,광진구
20180109,2호선,성수,32992.0,35603.0,성동구
20180109,2호선,뚝섬,19576.0,21013.0,성동구
20180109,2호선,한양대,9870.0,10973.0,성동구
20180109,2호선,왕십리(성동구청),20131.0,16315.0,성동구
20180109,2호선,상왕십리,15169.0,14721.0,성동구
20180109,1호선,청량리(서울시립대입구),26649.0,27661.0,동대문구
20180109,1호선,제기동,20513.0,20815.0,동대문구
20180109,1호선,신설동,17054.0,16706.0,동대문구
20180110,우이신설선,신설동,1577.0,1725.0,동대문구
20180110,7호선,뚝섬유원지,7645.0,7264.0,광진구
20180110,7호선,건대입구,17183.0,18064.0,광진구
20180110,7호선,어린이대공원(세종대),14366.0,14096.0,광진구
20180110,7호선,군자(능동),15825.0,10318.0,광진구
20180110,7호선,중곡,11301.0,10467.0,광진구
20180110,7호선,용마산,6978.0,6480.0,중랑구
20180110,7호선,사가정,16996.0,16884.0,중랑구
20180110,7호선,면목,16641.0,16181.0,중랑구
20180110,7호선,상봉(시외버스터미널),18638.0,17690.0,중랑구
20180110,7호선,중화,12365.0,11867.0,중랑구
20180110,7호선,먹골,11692.0,11301.0,중랑구
20180110,6호선,봉화산(서울의료원),10955.0,10060.0,중랑구
20180110,6호선,연신내,2.0,0.0,중랑구
20180110,5호선,광나루(장신대),16933.0,15093.0,광진구
20180110,5호선,아차산(어린이대공원후문),15469.0,14894.0,광진구
20180110,5호선,군자(능동),12298.0,15207.0,광진구
20180110,5호선,장한평,21499.0,21595.0,동대문구
20180110,5호선,답십리,18346.0,17200.0,성동구
20180110,5호선,마장,6776.0,6415.0,성동구
20180110,5호선,왕십리(성동구청),5609.0,6347.0,성동구
20180110,5호선,행당,9571.0,8573.0,성동구
20180110,5호선,신금호,6448.0,6462.0,성동구
20180110,경춘선,신내,661.0,719.0,중랑구
20180110,중앙선,상봉(시외버스터미널),5804.0,5702.0,중랑구
20180110,경원선,청량리(서울시립대입구),14543.0,15765.0,동대문구
20180110,경원선,왕십리(성동구청),16302.0,18879.0,성동구
20180110,경원선,옥수,52.0,29.0,성동구
20180110,3호선,옥수,10625.0,11245.0,성동구
20180110,3호선,금호,9563.0,8899.0,성동구
20180110,3호선,연신내,44931.0,42946.0,중랑구
20180110,2호선,용두(동대문구청),2427.0,2669.0,동대문구
20180110,2호선,신설동,4509.0,4285.0,동대문구
20180110,2호선,신답,1449.0,1707.0,성동구
20180110,2호선,용답,2674.0,2709.0,성동구
20180110,2호선,강변(동서울터미널),45248.0,44253.0,광진구
20180110,2호선,구의(광진구청),27136.0,26773.0,광진구
20180110,2호선,건대입구,44265.0,48668.0,광진구
20180110,2호선,성수,32933.0,35478.0,성동구
20180110,2호선,뚝섬,19282.0,20563.0,성동구
20180110,2호선,한양대,10233.0,10996.0,성동구
20180110,2호선,왕십리(성동구청),20454.0,16766.0,성동구
20180110,2호선,상왕십리,15634.0,15073.0,성동구
20180110,1호선,청량리(서울시립대입구),25995.0,26772.0,동대문구
20180110,1호선,제기동,18970.0,19272.0,동대문구
20180110,1호선,신설동,16717.0,16424.0,동대문구
20180111,1호선,신설동,16055.0,15855.0,동대문구
20180111,1호선,제기동,17285.0,17396.0,동대문구
20180111,1호선,청량리(서울시립대입구),24098.0,24847.0,동대문구
20180111,2호선,상왕십리,14958.0,14380.0,성동구
20180111,2호선,왕십리(성동구청),19969.0,16148.0,성동구
20180111,2호선,한양대,11630.0,12023.0,성동구
20180111,2호선,뚝섬,18569.0,19915.0,성동구
20180111,2호선,성수,31474.0,33936.0,성동구
20180111,2호선,건대입구,42470.0,46871.0,광진구
20180111,2호선,구의(광진구청),25648.0,24944.0,광진구
20180111,2호선,강변(동서울터미널),43807.0,42416.0,광진구
20180111,2호선,용답,2521.0,2564.0,성동구
20180111,2호선,신답,1364.0,1590.0,성동구
20180111,2호선,신설동,4451.0,4413.0,동대문구
20180111,2호선,용두(동대문구청),2402.0,2437.0,동대문구
20180111,3호선,연신내,42488.0,40733.0,중랑구
20180111,3호선,금호,9011.0,8404.0,성동구
20180111,3호선,옥수,9936.0,10602.0,성동구
20180111,경원선,옥수,58.0,25.0,성동구
20180111,경원선,왕십리(성동구청),15705.0,18233.0,성동구
20180111,경원선,청량리(서울시립대입구),13716.0,15029.0,동대문구
20180111,중앙선,상봉(시외버스터미널),5673.0,5504.0,중랑구
20180111,경춘선,신내,596.0,647.0,중랑구
20180111,5호선,신금호,6172.0,6243.0,성동구
20180111,5호선,행당,9144.0,8299.0,성동구
20180111,5호선,왕십리(성동구청),5234.0,5995.0,성동구
20180111,5호선,마장,6376.0,6149.0,성동구
20180111,5호선,답십리,17199.0,15955.0,성동구
20180111,5호선,장한평,20442.0,20533.0,동대문구
20180111,5호선,군자(능동),11651.0,14425.0,광진구
